Number of static obstacles,Number of dynamic obstacles,Minimum distance from obstacle,Average distance between obstacles,Largest free angle,Area,Run number,Robot position,Obs pos,Dyn obs pos,Is stuck
12,4,1.414213562,2.299448546,26.56505118,C to B,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 22), (34, 23), (35, 21), (35, 23)]",FALSE
12,5,1.414213562,2.315586488,26.56505118,C to B,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 22), (34, 23), (35, 21), (35, 23), (36, 23)]",FALSE
12,4,2.236067977,2.299448546,26.56505118,C to B,0,"(31, 23)","[(26, 23), (27, 20), (27, 21), (27, 22), (27, 23), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 21), (34, 22), (35, 20), (35, 22)]",FALSE
8,8,1,2.274737709,56.30993247,C to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 21), (34, 22), (35, 20), (35, 22), (36, 20), (36, 21), (36, 22), (36, 23)]",FALSE
8,5,2,2.3984292,45,C to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 20), (34, 21), (35, 19), (35, 21), (36, 19)]",FALSE
8,8,2,2.274737709,45,C to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 20), (34, 21), (35, 19), (35, 21), (36, 19), (36, 20), (36, 21), (36, 22)]",FALSE
8,4,2.828427125,2.299448546,36.86989765,C to B,0,"(32, 22)","[(27, 22), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24), (28, 25)]","[(32, 19), (34, 20), (35, 18), (35, 20)]",FALSE
8,8,2,2.274737709,45,C to B,0,"(32, 21)","[(27, 21), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]","[(32, 19), (34, 20), (35, 18), (35, 20), (36, 18), (36, 19), (36, 20), (36, 21)]",FALSE
8,4,2.828427125,2.299448546,36.86989765,C to B,0,"(32, 21)","[(27, 21), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23), (28, 24)]","[(32, 18), (34, 19), (35, 17), (35, 19)]",FALSE
8,8,2,2.274737709,45,C to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(32, 18), (34, 19), (35, 17), (35, 19), (36, 17), (36, 18), (36, 19), (36, 20)]",FALSE
8,4,2.828427125,2.299448546,36.86989765,C to B,0,"(32, 20)","[(27, 20), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22), (28, 23)]","[(32, 17), (34, 18), (35, 16), (35, 18)]",FALSE
8,8,2,2.274737709,45,B to A,0,"(32, 19)","[(27, 19), (28, 16), (28, 17), (28, 18), (28, 19), (28, 20), (28, 21), (28, 22)]","[(32, 17), (34, 18), (35, 16), (35, 18), (36, 16), (36, 17), (36, 18), (36, 19)]",FALSE
